"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","CESM2-1","HadCM3-GLAC1D","HadCM3-ICE6GC","iLOVECLIM1-1-1-GLAC-1D","iLOVECLIM1-1-1-ICE-6G-C","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","pre_anom","1","1.52058698869418","1.47441063768244","1.4670431800138","1.55855174306242","1.14635382791207","1.36586619643496","1.12571889536882","1.17200575826857","1.60539418626097","1.6298546313635","0.979745552380583","1.18368278717086","1.01907627897896","1.23987247735211"
"step2","pre_anom","1","1.52058698869418","1.25264550864506","1.19908131374052","1.54848512530502","1.21649065743614","1.21173172825921","1.12037134208838","1.1343389566491","1.46461771783712","1.47974434238932","0.95888858504812","1.18882124358995","1.02124198934739","1.24679994571895"
"step3","pre_anom","1","1.52058698869418","1.31191946386909","1.25192425629152","1.43556204017336","1.30540397558532","1.18815979059629","1.21140349219103","1.22353042852413","1.29839316028192","1.32178553012784","0.961769963068636","0.988373671608796","1.04818516207336","1.2259962163499"
