"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","CESM2-1","HadCM3-GLAC1D","HadCM3-ICE6GC","iLOVECLIM1-1-1-GLAC-1D","iLOVECLIM1-1-1-ICE-6G-C","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","mtwa_anom","1","1.46297732020782","1.1964948239674","1.1974625115306","1.94873745288905","2.57106612644272","2.58773118846424","3.39380502829702","2.83948031561915","1.48240971282101","1.60817755880626","1.4208977578028","1.60879011756616","1.14995111197197","0.950327982999553"
"step2","mtwa_anom","1","1.46297732020782","1.19973818439692","1.05337599887444","1.85995183683128","2.06438177085778","1.78299445418608","1.20030058837371","1.17140888509686","1.49120249744313","1.61674442400166","1.32600099769393","0.948287544427183","1.00633709696109","0.934893983133455"
"step3","mtwa_anom","1","1.46297732020782","1.02044032299377","0.941334607379781","1.79931226883615","1.85547936958029","1.57787656848033","1.26574156255047","1.15920129054234","1.3572322107784","1.38067037410578","1.64487855126767","0.960968113926248","0.777543412930672","0.967704934228646"
