"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","iLOVECLIM-GLAC","iLOVECLIM-ICE","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","mtwa_anom","1","1.3940415299105","2.88316637462489","2.89996679057016","2.46402691859932","0.86524800793312","3.25603738120126","3.21008666186957","2.29841970198314","1.11488734648431","2.59157844440372","2.32041798591997"
"step2","mtwa_anom","1","1.3940415299105","0.722625164689791","0.818950746996766","0.941235929316118","0.66568903604389","0.65607401957189","0.661272604122637","0.639902288908065","0.803022061615013","0.513873215369492","0.859843925848408"
"step3","mtwa_anom","1","1.3940415299105","0.661518864214178","0.861500432572283","0.965705851249467","0.599796622476852","0.714751467337531","0.718378356345303","0.515397378937655","0.796699762654511","0.468467809254185","0.954371108531943"
