"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","CESM2-1","HadCM3-GLAC1D","HadCM3-ICE6GC","iLOVECLIM1-1-1-GLAC-1D","iLOVECLIM1-1-1-ICE-6G-C","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","pre_anom","1","1.51382867897744","1.4098120282042","1.42335441569833","1.52382489533564","1.12410027191766","1.35562696507593","1.15083380507392","1.1600197004771","1.50241161445349","1.52799764841072","0.977263213880112","1.15967607507136","1.05445758271165","1.25026193514886"
"step2","pre_anom","1","1.51382867897744","1.15386950543048","1.12607580501268","1.53046364105056","1.16889706007781","1.2790704914029","1.10383828955186","1.09115027471129","1.39724723381434","1.41591986240761","0.934268639522487","1.15688373936808","1.04833026636256","1.21722877005301"
"step3","pre_anom","1","1.51382867897744","1.2278870379593","1.20447904468911","1.38706608573144","1.25862090287689","1.21885576258069","1.17826133849769","1.18360628482559","1.17801045452094","1.19992872092439","0.933339741376736","0.949004732631399","1.07621415534341","1.21579884984054"
