"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","iLOVECLIM-GLAC","iLOVECLIM-ICE","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","mtwa_anom","1","1.37551596582705","3.4440235522248","6.0064329468724","4.01633212987724","1.83741702066355","5.11412319416664","5.21879580138797","2.81266344011138","2.50151747731232","5.02923546492332","4.35982624005398"
"step2","mtwa_anom","1","1.37551596582705","1.63399142396803","1.45054561036175","1.66151605919988","1.10544657760108","1.67173760260768","3.08688400144087","1.97511271596584","0.935688883957837","2.1891214517092","0.963125494091518"
"step3","mtwa_anom","1","1.37551596582705","1.5233592308417","1.29094282377344","1.12795788677309","1.07244322865418","1.32620161096293","1.06069347396683","1.01568660372755","0.784291259589864","0.797347358871437","0.911446466843964"
