"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","iLOVECLIM-GLAC","iLOVECLIM-ICE","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","pre_anom","1","1.44086095095619","1.63565101952394","1.53667810773819","3.67507813990605","2.7156626954243","2.22724872504017","2.18771544484599","2.24838406978422","2.83885059674279","2.80535065184556","2.16742670371545"
"step2","pre_anom","1","1.44086095095619","1.21660539569408","1.21149679193014","1.13362078581937","0.835384998776556","1.83604261687259","1.9149948168209","0.773600779087814","1.19333186100938","1.25971382944473","0.799293782829446"
"step3","pre_anom","1","1.44086095095619","1.01793228004449","0.979132057868028","1.00744875699074","0.805185366018985","1.3557934382032","1.37518481782418","0.61938128718341","0.77912117839253","1.03935985995076","0.722075079439865"
