"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","iLOVECLIM-GLAC","iLOVECLIM-ICE","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","gdd5_anom","1","1.4519199892919","3.19275964342366","3.35812915880635","3.5795706995481","1.30043380287198","3.11783561284522","3.26201029660016","2.83989481638354","1.58280989623867","3.32948579415278","3.19993387983849"
"step2","gdd5_anom","1","1.4519199892919","1.38574591427959","1.2396660937495","2.42447738111826","1.15236264271282","1.06791222996988","1.08592277865169","1.32792009592064","1.51147969327184","1.19367750470753","1.37341712373234"
"step3","gdd5_anom","1","1.4519199892919","1.59195686668447","1.45632806134038","1.41873792576277","1.41102716434827","1.47201627327647","1.46522193658125","1.23466482900508","1.14283408590099","1.48753880793621","1.1864622177451"
