"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","CESM2-1","HadCM3-GLAC1D","HadCM3-ICE6GC","iLOVECLIM1-1-1-GLAC-1D","iLOVECLIM1-1-1-ICE-6G-C","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","mtwa_anom","1","1.40165068090144","2.42057625130695","2.53300938048632","2.2803538177509","0.773417202796107","4.39685702816335","1.39679579405314","1.00853162225406","2.41933640989071","2.40903184289142","1.93839610167132","0.895497810800191","2.22739094053463","1.99348454757525"
"step2","mtwa_anom","1","1.40165068090144","1.10468751378483","0.972483936498109","1.31289178304929","0.704756949389008","0.936966410368641","1.16555386699727","0.990436736102119","0.628984150883685","0.640248777657994","1.26977092343124","0.89547501093658","1.01226587516151","0.955825185093297"
"step3","mtwa_anom","1","1.40165068090144","0.798750759052526","0.885288721445292","1.05872606670061","0.746509510782367","0.830202431001237","1.16250250536117","1.07673091785106","0.666288356360074","0.682239600820723","0.798511261536497","0.744764661501964","0.690003344554905","0.970230638187678"
