"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","CESM2-1","HadCM3-GLAC1D","HadCM3-ICE6GC","iLOVECLIM1-1-1-GLAC-1D","iLOVECLIM1-1-1-ICE-6G-C","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","pre_anom","1","1.53098276870201","1.1851513724417","1.10383729650989","2.07682365896399","1.47032790669041","1.94830945520971","1.22825415022891","1.23503704753845","1.61995921206494","1.58826360274651","1.26660557997055","1.49999673938519","1.40381881265047","1.33615856803003"
"step2","pre_anom","1","1.53098276870201","1.15689555151495","1.0979524223714","1.50311594184629","1.12058287646081","1.18454002436295","1.06546883616842","1.10949513629031","1.44704784431432","1.46031777551025","0.920552014418484","1.10791109132408","1.04290678127197","1.16971521486339"
"step3","pre_anom","1","1.53098276870201","1.22603363326978","1.16985858064361","1.35758965697819","1.19898054271118","1.11739058741618","1.12659516304427","1.20381067472987","1.23502358327253","1.25421918707661","0.916094062897997","0.901237272336209","1.06433517778365","1.16432914230195"
