"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","CESM2-1","HadCM3-GLAC1D","HadCM3-ICE6GC","iLOVECLIM1-1-1-GLAC-1D","iLOVECLIM1-1-1-ICE-6G-C","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","gdd5_anom","1","1.34446324607788","0.844844385344263","0.868779491552589","0.76640771935769","0.617553409634008","1.4812529841951","0.709157151273874","0.652764221214495","0.714828941351658","0.751697997804476","0.539441203260644","0.525620163798598","0.680783377264318","0.672341273504933"
"step2","gdd5_anom","1","1.34446324607788","0.760275206951087","0.650044499356798","0.746318062391252","0.51209737616804","0.820146993370932","0.507997496681098","0.534808056425575","0.699314458881329","0.753044916039866","0.53830232743331","0.502236980410476","0.695127942957883","0.603812530136008"
"step3","gdd5_anom","1","1.34446324607788","0.776140852260681","0.655311437142736","0.803529366991592","0.522318816585807","0.396612925463463","0.534503694502255","0.575443217858823","0.761467603133652","0.814446385197315","0.546887721906165","0.521487506132156","0.75368819654459","0.605461522537653"
