"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","CESM2-1","HadCM3-GLAC1D","HadCM3-ICE6GC","iLOVECLIM1-1-1-GLAC-1D","iLOVECLIM1-1-1-ICE-6G-C","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","gdd5_anom","1","1.44436301354693","1.62740988130902","2.31818936305412","1.34360590346912","1.9850264106875","3.74171654357026","0.683455829024605","0.878785019844946","1.87276677391618","2.22957221972348","0.98793602548365","0.901267166689722","1.47149097336271","1.36554784793969"
"step2","gdd5_anom","1","1.44436301354693","0.903616933787194","0.939322751187886","1.36420754157082","1.37302026429405","1.28989311211815","0.653670214377554","0.8788888867066","1.68433011716809","2.59798471662503","0.989609183815194","0.901969911803946","1.35862260768281","0.916344285221666"
"step3","gdd5_anom","1","1.44436301354693","1.11973204996395","1.11700491619847","1.40657543813523","1.38753367330386","1.02164104480376","0.721297875445945","0.922882055685009","0.842329183153759","0.982775864678843","0.953439994996911","0.975814593900307","1.37063683898538","1.07287636768199"
