"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","iLOVECLIM-GLAC","iLOVECLIM-ICE","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","gdd5_anom","1","1.52509088398584","4.91308284132092","5.09749631455752","5.11459828984889","1.54825986035725","5.09199169758327","5.25314834785659","4.46703399827739","2.55180307562609","5.23054974200688","4.89954304870227"
"step2","gdd5_anom","1","1.52509088398584","1.44368596164756","1.32819316200129","2.67679015473302","1.25239762679021","1.12370621980645","1.14189880440108","1.4722042404571","1.64160279277423","1.29054454705847","1.58413613585098"
"step3","gdd5_anom","1","1.52509088398584","1.58690376778744","1.50807552007448","1.44491944679045","1.46091212633363","1.57730746534331","1.57504029161672","1.28381433024524","1.1880292786662","1.523270604501","1.27715243451898"
