"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","iLOVECLIM-GLAC","iLOVECLIM-ICE","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","mtwa_anom","1","1.42002195097948","1.34087740420265","1.64362809037994","1.45958049801007","1.34278688983432","1.55692508735903","1.72302048248858","1.11329259839113","1.00212576347629","1.11129087462885","1.23755084143548"
"step2","mtwa_anom","1","1.42002195097948","0.976742980679659","0.910168419683794","1.42454507585414","1.39174994321001","1.27304629009671","1.54447641799818","1.06975917702504","0.997835927402859","1.03006338445026","0.931798147760211"
"step3","mtwa_anom","1","1.42002195097948","0.878815400464037","0.884558980130527","1.47215545802065","1.41459279386965","1.26769041901515","1.30439814230584","1.16688987854228","0.993515361745476","0.944878851380267","0.97372912661147"
