"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","iLOVECLIM-GLAC","iLOVECLIM-ICE","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","mtco_anom","1","1.40683990339632","1.27180562789294","1.09200029778171","1.24764048651298","0.997059637922534","1.81524321154663","1.74680694958861","0.773950850093651","0.780546126766164","0.787552505210484","0.976142127499311"
"step2","mtco_anom","1","1.40683990339632","0.814690936244123","0.850597792711816","1.25149494116678","0.951338022320989","0.968739636714549","0.962414625361046","0.772215053054098","0.685149090460656","0.771552870535246","0.829805930536158"
"step3","mtco_anom","1","1.40683990339632","0.84886263111626","0.860557673761411","0.862254333796982","0.742172778614401","1.28802167340707","1.27256177375249","0.645381074591661","0.73876757488238","0.720063829763517","0.792405484536583"
