"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","CESM2-1","HadCM3-GLAC1D","HadCM3-ICE6GC","iLOVECLIM1-1-1-GLAC-1D","iLOVECLIM1-1-1-ICE-6G-C","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","pre_anom","1","1.58234931341942","1.26176696355855","1.22237416370162","1.29797480808477","1.09012185204295","1.1279401287349","1.16396106919054","1.19709077088073","1.32635008241757","1.33140302876204","1.02656347904716","1.06829875654606","1.07281913359393","1.1695414047394"
"step2","pre_anom","1","1.58234931341942","1.0878166605874","1.01899053323021","1.33258110615048","1.09855163883064","1.11819348750047","1.11940379405344","1.13795805554764","1.26373383809708","1.26464962048659","0.986633502539654","1.06401905270741","1.05899034229388","1.1214307030093"
"step3","pre_anom","1","1.58234931341942","1.34999814646186","1.21768490985493","1.39535494406545","1.39705103159747","1.19071003493481","1.36258312598113","1.39033712388496","1.37448269357518","1.38022582878389","1.13155460227079","1.07807274231989","1.28270504110327","1.26192888432966"
