"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","CESM2-1","HadCM3-GLAC1D","HadCM3-ICE6GC","iLOVECLIM1-1-1-GLAC-1D","iLOVECLIM1-1-1-ICE-6G-C","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","pre_anom","1","1.35127117925583","0.941960675180983","0.921875316043807","1.57341604039153","0.875108124829726","1.10903912822806","0.616494155710851","0.882807334939434","1.38997948663321","1.5044283925589","0.732757116990269","0.530719833837488","0.97431165110781","0.817396330864736"
"step2","pre_anom","1","1.35127117925583","0.973796482115547","0.96782968162097","1.55049714458751","0.772073687098333","0.816575051499286","0.617923976558561","0.897081752199337","1.41913285625411","1.50751280571723","0.733560492579812","0.508456859385107","0.865338347169089","0.828126688329498"
"step3","pre_anom","1","1.35127117925583","1.13842717423968","1.1129901320255","1.81840818815946","0.733362126587632","0.696699917049322","0.680306792540247","1.01788723634975","1.33574166110138","1.36088462344031","0.816905664706576","0.513252982710938","0.982048968782607","0.87241697895289"
