"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","CESM2-1","HadCM3-GLAC1D","HadCM3-ICE6GC","iLOVECLIM1-1-1-GLAC-1D","iLOVECLIM1-1-1-ICE-6G-C","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","mtwa_anom","1","1.46813153023412","1.24442163972099","1.13788145883943","1.27852752812093","1.12958138074065","1.44863007867537","2.13701268425174","1.82582473170142","1.58964786093392","1.57537702033246","1.07828494947703","1.72526489444829","1.27129680441933","1.28227845063851"
"step2","mtwa_anom","1","1.46813153023412","1.265431378296","1.15107756156517","1.21074170871287","1.1395996258238","1.01443832918637","1.21055189622254","1.19074049434049","1.23916165525563","1.24693669186704","1.09078701121589","1.51883441731019","1.19883934893089","1.2679663997912"
"step3","mtwa_anom","1","1.46813153023412","1.39256707238245","1.35008435266178","1.36209165541639","1.38339318209667","1.27745576740577","1.28602573753007","1.19038024123181","1.42734724484061","1.42865885703345","1.2897504417802","1.19668085831902","1.41554667673009","1.47175614414957"
