"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","iLOVECLIM-GLAC","iLOVECLIM-ICE","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","gdd5_anom","1","1.4357188195351","1.46852775158092","2.04709005332298","1.36409323695005","2.41790431636961","1.77306350677514","2.42668600777801","1.10893754441016","0.933298060495712","1.4374347777522","1.28569792939995"
"step2","gdd5_anom","1","1.4357188195351","0.992152489357458","0.941423499097056","1.39978382437866","1.43427561453223","1.88318412388483","2.81208187108731","1.02572565111294","0.91366148496532","1.39916799815667","1.03820709885013"
"step3","gdd5_anom","1","1.4357188195351","1.16167340739979","1.09984087337208","1.40316716120497","1.39177310432632","0.879345615288142","1.01979229681323","0.955716947752042","0.99345747610153","1.36637406256074","1.10860097507582"
