"","varname","mean_null","random_null","AWIESM1","AWIESM2","CCSM4-UofT","CESM1-2","CESM2-1","HadCM3-GLAC1D","HadCM3-ICE6GC","iLOVECLIM1-1-1-GLAC-1D","iLOVECLIM1-1-1-ICE-6G-C","INM-CM4-8","IPSLCM5A2","MIROC-ES2L","MPI-ESM1-2"
"step1","pre_anom","1","1.59442355245798","1.10486387332398","1.04512362158646","1.41849078398411","1.10248198926884","1.2717641244122","1.08183151609999","1.11856039329669","1.29788906121929","1.30287508754726","0.987622129935776","1.10822020836796","1.08159958393491","1.08557875704211"
"step2","pre_anom","1","1.59442355245798","1.09408006978906","1.01641719362715","1.33656035598691","1.07692033380405","1.09923381034062","1.10743738782339","1.14312198768535","1.30245668560523","1.30344438862633","0.979016630071129","1.05919064557091","1.05903224153909","1.10037399829342"
"step3","pre_anom","1","1.59442355245798","1.34060744286922","1.19951057461012","1.36828899813716","1.35500469281943","1.15109175704792","1.33211944757222","1.37687057655267","1.38135738627592","1.38859686018495","1.1111414228993","1.04481228400921","1.25285649339052","1.22891098894101"
